Query,pred
what is a book in the fiction literary genre?,books_in_genre
what fiction genre is finity's end considered,genre
Who wrote soul of the fire?,author_of_book
what type of book genre does two blondes belong to?,genre
what type of book is isle of view,genre
What is an example of a speculative fiction book,books_in_genre
who wrote the fall of the house of usher,author_of_book
what kind of book is diary,genre
who is the author of ethan frome,author_of_book
what are fiction titles,books_in_genre
what is the name of a fantasy book,books_in_genre
Name an autobiography book.,books_in_genre
whats an example of a  suspense book,books_in_genre
which company published mortal kombat: special forces?,publisher
What genre of book is the eye and the finger,genre
Which company published the videogame galaxy 5000?,publisher
is the the poverty of philosophy a philosophy or history book,genre
what is an example of a science fiction book,books_in_genre
who is the publisher for the game michael jackson's moonwalker?,publisher
Who wrote the mayor of castro street,author_of_book
what kind of book is the hard way?,genre
what type of book would a history of pi be,genre
What is a written work by jamaica kincaid?,book_from_author
who wrote brazilian adventure,author_of_book
what type of book is river god?,genre
What genre is the book wiseguy classified under,genre
What genre is ayesha,genre
what type of book is the moon's a balloon,genre
What would be a speculative fiction book,books_in_genre
what book was written by joel osteen,book_from_author
what kind of  book is the city of towers,genre
Who published wonderland?,publisher
what language was prince of the blood written in,language
what book title is a  fiction literary genre,books_in_genre
what kind of book is hansel and gretel,genre
what language was comanche moon written in,language
is spaceship medic a science fiction or mystery book,genre
who published split second: velocity,publisher
what genre is the book the creator?,genre
What kind of book is annihilation factor,genre
who is the author of sense and sensibility,author_of_book
Who published golden axe: beast rider,publisher
greylands in a book in this genre.,genre
what is a mystery book,books_in_genre
Give one example of a autobiography type book,books_in_genre
what is a book written by jenny nimmo called,book_from_author
what book is  suspense literary genre,books_in_genre
What genre is the other wind,genre
What is the name of a book written by ken kesey,book_from_author
What's a book written by katherine anne porter,book_from_author
what is the name of a fiction book?,books_in_genre
What genre does the book boba fett: hunted belong to,genre
Who was the author of sleeping in flame,author_of_book
What is the title of a  fiction book?,books_in_genre
whats the title of a  fiction book,books_in_genre
what books have greg iles written?,book_from_author
What's a book written by carol ann duffy,book_from_author
what are titles of fiction books,books_in_genre
What's an example of a historical fiction book,books_in_genre
what is a memoir,books_in_genre
Who published nba 06,publisher
"what book, named after a year, is a suspense book",books_in_genre
what books have gerald o'collins written?,book_from_author
What genre of book is the year of the quiet sun,genre
what is the genre of the book the guns of the south,genre
who wrote the title 2 b r 0 2 b,author_of_book
what work was written by mary renault,book_from_author
What is a work written by warren leight,book_from_author
who published chuck rock ii: son of chuck,publisher
what book is written by susan choi?,book_from_author
what kind of book is assassins,genre
"who wrote the book about moomin, mymble and little my?",author_of_book
who wrote the novel eleven minutes,author_of_book
Name a work written by edgar allan poe,book_from_author
Name a novel.,books_in_genre
who was the author of the crown of dalemark,author_of_book
Name a work written by ray bradbury,book_from_author
what business published the cloudy with a chance of meatballs game,publisher
which book is in the genre autobiography,books_in_genre
what genre is tam lin?,genre
who is the author of the dead of the night,author_of_book
what is a mystery book written by Lawrence Block,books_in_genre
what is the strange case of mr pelham book about,genre
What would be labeled speculative fiction,books_in_genre
what genre is the demon spirit classified as,genre
who wrote the book treasure island,author_of_book
who is the writer of the last day of a condemned man,author_of_book
What type of book is the mystery of the yellow room?,genre
name some steampunk books,books_in_genre
What's a work by philip roth,book_from_author
what is the genre of the phoenix,genre
what kind of book is night,genre
what company produces penn & teller's smoke and mirrors,publisher
what is a book in the science fiction genre?,books_in_genre
what kind of book is tatja grimm's world,genre
WHich company published pax imperia: eminent domain,publisher
what types of book is the problem of the covered bridge,genre
What is a work written by author agatha christie?,book_from_author
What is the genre of the book stormblade,genre
what is a book in the genre biography,books_in_genre
What is the name of a speculative fiction book?,books_in_genre
What is a fiction novel written by a Filipino author,books_in_genre
what book genre is one step behind?,genre
what books have robin moore written?,book_from_author
what book is a fantasy genre?,books_in_genre
what author penned the book dumbing us down,author_of_book
Name a fiction literary book.,books_in_genre
what is an example of a fantasy book,books_in_genre
"who wrote \\""master harold\\""...and the boys?",author_of_book
Which speculative fiction novel is commonly taught in schools?,books_in_genre
is eleven on top a fiction or non-fiction book,genre
who wrote aliens ate my homework,author_of_book
What genre of book is american beauty,genre
what is a memoir book?,books_in_genre
who published b-17 flying fortress: the mighty 8th?,publisher
what book genre is neverness?,genre
What company published the game aleste 2,publisher
what kind of book is a scanner darkly,genre
What book genre does black & blue belong to?,genre
What would be an autobiography,books_in_genre
what company published dark sun: wake of the ravager?,publisher
What is the biography written by  Peggy Noona?,books_in_genre
what is the name of a military autobiography,books_in_genre
what genre of book is the burden of proof,genre
Who wrote the work a lie of the mind?,author_of_book
name a speculative fiction book,books_in_genre
Which science fiction book won an award,books_in_genre
Name an author in the fantasy book genre.,books_in_genre
What kind of book is the young magicians?,genre
What kind of book is mystery walk,genre
Name a written work of author virginia woolf.,book_from_author
what type of book is city of golden shadow affiliated with,genre
which company published david cranes amazing tennis,publisher
what book genre is the mansion?,genre
what is a children's literature fiction book,books_in_genre
Name a work written by william blake,book_from_author
what is the name of a fiction book,books_in_genre
is shooting star a crime fiction or comedy,genre
which company made vanguard?,publisher
what type of book is vendetta for the saint,genre
Who wrote open house?,author_of_book
what genre is the book blood rites,genre
what work was written by tony parsons (british journalist),book_from_author
What genre is a cavern of black ice classified as,genre
is the league of extraordinary gentlemen fiction or nonfiction,genre
what kind of book is psycho?,genre
which genre does the book the sacred art of stealing belong to,genre
Which book is apart of the historical fiction literary genre?,books_in_genre
what is the original language of warrior's refuge,language
who is the video game publisher of virtua cop: elite edition?,publisher
Who authored one of ours?,author_of_book
what kind of book is the end of work,genre
What is a book written by the author steven millhauser,book_from_author
what is a mystery book with a knife in its title,books_in_genre
what kind of comdey is not the end of the world,genre
What genre is the book circle of friends?,genre
what is the genre of the book the story of the amulet,genre
who wrote the book the silence of the lambs,author_of_book
what kind of book is a haunted house and other short stories?,genre
What is a book by jules verne?,book_from_author
which publisher published  battlecruiser 3000ad,publisher
what kind of book is the sheltering sky,genre
what is written by han suyin?,book_from_author
who is the author of the poseidon adventure?,author_of_book
what language was hangman's curse originally written in,language
What's a fiction book written by michelle magorian,books_in_genre
What is a book about fiction?,books_in_genre
what kind of book is the south,genre
which book is speculative fiction,books_in_genre
what type of book is road hogs,genre
what was written by douglas hofstadter,book_from_author
what is the genre of the magic,genre
What is the genre of at the edge of the world,genre
what book type is the autobiography of alice b. toklas,genre
what is the name of a baseball book that portrays speculative fiction,books_in_genre
What works written by Phillip Pullman?,book_from_author
what genre is harry potter and the philosophers stone,genre
what is a book in the speculative fiction gendre,books_in_genre
what kind of book is the magic city,genre
what is the title of a book in the  autobiography genre,books_in_genre
What type of book is the rise of the black wolf?,genre
which fantasy series were written by mercedes lackey?,book_from_author
Who wrote the poisoners,author_of_book
what is the book genre of crossings?,genre
What type of book is bumper crop / joe r. lansdale.,genre
What's an example of a speculative fiction work,books_in_genre
what type of book is waiting for the galactic bus?,genre
Who was the author of the book swords against death,author_of_book
Name a work by brian selznick.,book_from_author
who authored the book grace abounding to the chief of sinners,author_of_book
what book is a work of fiction?,books_in_genre
keeper of the keys is what type of book,genre
Name a novel by Vladimir Nabokov,books_in_genre
the black cauldron is what type of book,genre
what is a fictional book?,books_in_genre
What genre is the enchanted wood,genre
is the the unusual suspects a fantasy or mystery,genre
Who wrote the book how to talk to girls at parties,author_of_book
in what genre was the book evil always ends written,genre
"Who was the author of ""Master Class""?",author_of_book
what genre is leather maiden under?,genre
which book is in the gender fantasy,books_in_genre
Which genre of book is the cat who played post office?,genre
which genre is the book divided kingdom,genre
what books has milton abramowitz written,book_from_author
what type of book of the mysteries of udolpho?,genre
what is a book that is speculative fiction?,books_in_genre
who wrote the book shadow over mars?,author_of_book
what books have harry hill written,book_from_author
what type of written work is night's master?,genre
What is the name of a book from the sociology genre,books_in_genre
what types of book is gridiron,genre
what is the genre of the book city at the end of time,genre
what genre is crystal city,genre
What is the name of a book of the speculative fiction literary genre?,books_in_genre
what book genre is the dragonbone chair?,genre
which fiction novel has a female lead character?,books_in_genre
what is a work by david malouf,book_from_author
What something written by lisa kleypas?,book_from_author
which book is speculative fiction,books_in_genre
whats a fantasy literary book,books_in_genre
what books have edgar allan poe written?,book_from_author
Who wrote the mind's i,author_of_book
what book is science fiction,books_in_genre
Which company published battlefield 3?,publisher
What is a book paul scott authored?,book_from_author
What kind of book is the gate of time,genre
what type of narrative is the things fall apart,genre
what genre book is  the child in time,genre
is blood promise fiction or non-fiction,genre
Name a work by anita desai.,book_from_author
who is the author of the postman,author_of_book
what type of fiction classifies the protector's war,genre
what kind of novel is changeling?,genre
what works were written by william l. shirer,book_from_author
what is the name of a poetry book,books_in_genre
Who wrote the magic show?,author_of_book
What kind of book is upon some midnights clear?,genre
What genre of book is the flivver king,genre
what book is suspense,books_in_genre
Who is the electronic publisher of the computer game titled mysims skyheroes,publisher
the book ramuntcho  is what genre,genre
what was written by jacquelyn mitchard?,book_from_author
Who is the author of the book the hill of dreams,author_of_book
what genre of book is arrows of the queen written in?,genre
what kind of book is the eternal lover,genre
WHo published,publisher
who wrote the magic school bus in the time of the dinosaurs,author_of_book
What has jon robin baitz written?,book_from_author
What type of fiction is kinsmen of the dragon,genre
What kind of book is the dark portal,genre
what kind of book is the parsifal mosaic,genre
"What language was aye, and gomorrah, and other stories originally written in?",language
Name a fiction genre book written by Kate Elliott?,books_in_genre
what is the title of a book thats a biography genre,books_in_genre
what books has patrick carman written,book_from_author
Name a novel,books_in_genre
what was little man little man: a story of childhood originally written in,language
whats a known suspense book,books_in_genre
what book is in the genre fantasy?,books_in_genre
what is the genre for the book the godfathers revenge,genre
what type of book is the mirror maker,genre
what company made bubble bobble plus!?,publisher
what is the name of an economics book,books_in_genre
what company published metal combat: falcon's revenge?,publisher
what types of book is a voice in the wind,genre
what is an example of a book i the realm of science fiction,books_in_genre
who wrote the master,author_of_book
what genre is the book a passage to india,genre
what type of fiction is hawkes harbor,genre
who authored possession: a romance,author_of_book
who wrote his last bow,author_of_book
who wrote acornas world?,author_of_book
What's a different version of the mystery book cyber spy,books_in_genre
what type of book is nova swing,genre
What genre is the book jingo?,genre
what novel is written by James Kelman,books_in_genre
what kind of book is freezer burn,genre
which are the short stories that kurt vonnegut wrote?,book_from_author
what book did gaston leroux write,book_from_author
what book genre is the convenient marriage,genre
What is something that louise simonson wrote?,book_from_author
what novels did leif enger write?,book_from_author
who is the publisher of tails' skypatrol,publisher
what is a book in the suspense genre?,books_in_genre
Name a book in the genre fiction,books_in_genre
who was the author of catch me if you can,author_of_book
What's an example of a horror book,books_in_genre
stephen jay gould wrote what piece of work?,book_from_author
what is a book written by robert louis stevenson,book_from_author
what type of book is sea of glass,genre
Which genre of book is the wheels of chance?,genre
what is a 1998 speculative fiction book,books_in_genre
What is a book written by koji suzuki?,book_from_author
what genre does trapped at sea belong to,genre
What genre is the book consolation of philosophy,genre
azar nafisi  is known for what book,book_from_author
what book did george cockcroft write,book_from_author
Who is the author of the written work the steel mirror?,author_of_book
what type of film was the dialectic of sex,genre
who was the publisher of def jam fight for ny: the takeover,publisher
what book was written by the author edgar allan poe,book_from_author
Name a mystery book,books_in_genre
what's one of the books written by rick atkinson,book_from_author
what company did produce the cheetah girls: pop star sensations,publisher
what kind of book is sandrys book,genre
what type of book is a murder on the appian way?,genre
what is the title of a book created by the author  james wesley rawles,book_from_author
who was the publisher that put out ignition,publisher
who is the author of the moon of gomrath?,author_of_book
What is the name of a book written by author roald dahl?,book_from_author
what language is evenor written in,language
what is a book in the fiction genre?,books_in_genre
which genre does straw men fall under,genre
Who published the game blues clues kindergarten,publisher
which genre does ethan frome affiliate with,genre
What is a name of a suspense book released in 2008?,books_in_genre
Who is an author of the book angle of repose,author_of_book
Who wrote breaking strain?,author_of_book
What is a fiction book in the literary genre?,books_in_genre
what genre of book is the black tulip,genre
what is a mystery debut novel by American writer Marisha Pessl,books_in_genre
what kind of book is dark universe,genre
what kind of book is the trigger,genre
What type of book is the saint novel?,genre
Who published color a dinosaur?,publisher
who wrote the grass crown,author_of_book
what's the title of a science fiction book,books_in_genre
what type of book is the world swappers,genre
what is the name of a fantasy book,books_in_genre
what is the world below considered,genre
Name a written work from the author Russell Hoban.,book_from_author
who is the author of the written work the unquiet grave,author_of_book
who is the publisher of lego indiana jones 2: the adventure continues?,publisher
what is a book from the mystery literary genre,books_in_genre
List a literary work from the psychology genre,books_in_genre
What did caryl churchill write?,book_from_author
what kind of book is the devil in velvet,genre
what's one of the brothers grimm's famous fairy tales,book_from_author
what's is a published example of fiction,books_in_genre
who wrote the book theophilus north,author_of_book
what is the name of a fiction 1992 book,books_in_genre
what's a mystery written by charles sauer,books_in_genre
what is a science fiction book?,books_in_genre
what type of fiction is the ivory trail,genre
what kind of book is a house like a lotus,genre
what is a book written by michel houellebecq,book_from_author
whats the name of a speculative fiction,books_in_genre
what book genre is white shark?,genre
who published the computer game lego star wars ii,publisher
who is the publisher for the game might and magic vii: for blood and honor?,publisher
What genre of book is the mysterious island?,genre
what books did dave barry write?,book_from_author
who authored the book perceiving god,author_of_book
what type of book is a theft?,genre
Who published run like hell,publisher
"What genre of book is so long, and thanks for all the fish?",genre
What kind of book is count zero,genre
who is the publisher of lego universe,publisher
what type of book genre is  black water,genre
What year was Espumas Flutuantes published?,date
When was Ramonana first published?,date
When was One Falsed Note published?,date
When was Traktat poetycki first published?,date
When was the original published?,date
When was Exodus published?,date
When was the book first published?,date
When was The Vivisector first published?,date
Where was the introduction published?,date
When was Frin first published?,date
When was the Atlas Coelestis published?,date
When was Another Kind published?,date
When was Revival published?,date
What year was Cecilian published?,date
When was Koolads published?,date
When was The Protoeus Opetion published?,date
When was the mystery of being first published?,date
When was Breathless published?,date
When was Sidereus Nuncius published?,date
When was The Cronnin Omnibus first published?,date
When was The Able McLaughlins published?,date
When was Pastoralia published?,date
When was The Token published?,date
When was The Process published?,date
When was Bloodchild originally published?,date
When was The Griffters published?,date
When was it first published?,date
Where was the book published by Zveno Publishers in May 1909?,date
When was Five Stories published?,date
When was The Mother published?,date
When was the first figgie hobbin published?,date
When was the Eternite artifact published?,date
When was Only Forward first published?,date
When was Sagas first published?,date
When was Boycott published?,date
What year was The Somnambulist published?,date
When was Alfarrabios first published?,date
When was First Boy published?,date
When was Reborn first published?,date
When was Mome's final issue published?,date
When was Issola published?,date
When was Simon first published?,date
When was the novel Rohtaed first published?,date
When was Redemption first published?,date
When was the story originally published?,date
When was Dissolution first published?,date
When was Pilgrim first published?,date
When was The Bad Beginning published?,date
When was The Deluge published?,date
When was the pamphlet published by Guy Debord published?,date
When was the Atlas published?,date
When was OFWs Beyond first published?,date
When was Iceworld published?,date
When was The Legacy published?,date
What year was the book published?,date
What year was Kronici first published?,date
When was Parts first published?,date
When was the book originally published in hardcover?,date
When was Dragongirl published?,date
When was Man in The Holocense first published?,date
When was Cryoburn first published?,date
When was the collection first published?,date
When was After Henry published?,date
When was Kolme katku vahel first published?,date
When was Alienminds published?,date
When was Telek first published?,date
When was Twilight first published?,date
When was Codex first published?,date
When was Modelland published?,date
When was Kindred first published?,date
When was The Seeker originally published?,date
When was Watchman first published?,date
When was Extinction originally published?,date
When was Umbrella published?,date
When was Saintspeak originally published?,date
When was Echohawk first published?,date
When was Warbreaker first published?,date
When was Fell published?,date
When was Herbstmilch published?,date
When was The Shadow first published?,date
When was Glasshouse first published?,date
When was Colonial Survey first published?,date
When was For Years Here published?,date
When was Second Chance published?,date
When was Darkover Landfall first published?,date
When was Pnin published?,date
When was the book published in 2007?,date
When was The Broker published?,date
When was The Bellmaker published?,date
When was Feelings published?,date
When was The Double first published?,date
When was the 52nd book published?,date
In what year was The Dhammapada originally published?,date
When was Hiired tuules first published?,date
When was Agaguk first published?,date
When was The Freaks published?,date
When was the last book credited to her published?,date
When was Ocalenie first published?,date
When was StrengthsFinder first published?,date
When was the novel originally published?,date
When was the Eikon Basilike published?,date
When was And Then There Was No One first published?,date
When was this article published?,date
When was Bobri first published?,date
When was Stoneheart published?,date
When was Thus Spoke Zarthustra published?,date
When was Startide Rising published?,date
When was the Stronghold published?,date
When was Wartime Lies first published?,date
When was Alirezan published?,date
When was The Confessions published?,date
When was Peopleware published?,date
When was Raw published?,date
When was Valediction first published?,date
When was So Disdained first published?,date
When was the play published?,date
Where was the story originally published?,date
When was Runemarks published?,date
When was The Ultimate published?,date
When was Woolgathering published?,date
When was Uncommon Law first published?,date
When was Daredevil first published?,date
When was Trzy Zimy first published?,date
When was The Reivers published?,date
When was it originally published?,date
Which book was published in 1917?,date
When was the novella published online?,date
How old was Max Beerbehm when his first book was published in 1896?,date
When was Purpurne surm first published?,date
When was the original edition published?,date
When was Daemonologie written and published?,date
When was the book published by Scholastic?,date
When was The Visitor published?,date
When was Shambleeau and Others first published?,date
When was Mrinmoyee published?,date
When was Greenmantle first published?,date
When was the Bible first published?,date
When was Predmeestje first published?,date
When was The Titan first published?,date
When was the last volume published?,date
When was Fiasko first published?,date
When was Quinx published?,date
When was Wierzze Ostatnye first published?,date
When was the book written and published?,date
When was the book Being There first published?,date
When was balerina first published?,date
When was Xavras Wyryn published?,date
When were the stories originally published?,date
When was The Bishop of Sheir first published?,date
When was the textbook published?,date
When was Masters of Time first published?,date
When was Beginnings published?,date
When was Janissaries first published?,date
When was The Call published?,date
When was Rockbound published?,date
When was The Sentinel originally published?,date
When was Lirael first published?,date
When was Gucio zaczarowany first published?,date
When was Cirie first published?,date
When was Emma first published?,date
When was Kydd first published?,date
When was the novelette first published?,date
When was The Regrets published?,date
When was Death Times Three published?,date
When was the essay published?,date
When was Consider Phlebas first published?,date
When was Keeper published?,date
When was the poem published?,date
When was Alaler Gharer Dulal published?,date
When was the Siege first published?,date
In what year was the story originally published?,date
Where was the book published?,date
When was Guy Mannering published?,date
What year was Shardik published?,date
Where was the book published in 1937?,date
When was Chiefs first published?,date
When was Mirror published?,date
When was Timeless originally published?,date
When was the seventh Book published?,date
When was Nightjohn first published?,date
When was Only When I Larf published?,date
When was Loving published?,date
When was Abhorsen first published?,date
When was The Discoverers published?,date
What year was Aziyadé published?,date
What magazine was the novel originally published in?,date
When was Grasshopper first published?,date
When was the volume first published?,date
When was the Mitchell Report published?,date
When was the original book published?,date
When was the first number published?,date
When was Catcall published?,date
When was Bodies published?,date
When was the Collectors published?,date
When was the first Deryndi book published?,date
When was The Manticore published?,date
When was Limitations published?,date
When was Book of The Dead first published?,date
When was Kaleidoscope first published?,date
When was Midget first published?,date
When was Celestic Matters published?,date
When was Bill first published?,date
When was The Foot Book first published?,date
When was the first edition of Cyclecraft published?,date
When was Rogue published?,date
When was The Rebel first published?,date
When was The Plattner Story and Others first published?,date
When was the full novel published?,date
When was Post Captain first published?,date
What year was Floatpoint published?,date
When was My Present Age first published?,date
Which book was published shortly after what prize?,date
When was Dead People first published?,date
When was Death in Venedig first published?,date
When was The Last Man first published?,date
When was The Life published?,date
Where was Ohvrelaev first published?,date
When was Time and Chance published?,date
When was The Twelve published?,date
When was Hooked published?,date
When was The Harpole Report published?,date
When was Stormqueen! originally published?,date
When was the Disquisitiones Arithmeticae published?,date
When was Wheelers first published?,date
When was Gazu Hyakki Yagy published?,date
When was the collection published?,date
When was The Fall first published?,date
When was Resurrection first published?,date
When was the dictionary published?,date
When was Sanctuary first published?,date
When was Ghosts first published?,date
Where was the article published?,date
When was Nélida first published?,date
When was the memoir published?,date
When was First Light first published?,date
What year was Rakvere romaan published?,date
When was Sheep originally published?,date
When was The Hollowing originally published?,date
When was Another World published?,date
When was Sigtuna väravad first published?,date
How many years after the inquiry was announced was the report published?,date
When was Saducismus triumphatus published?,date
When was Lavondyss originally published?,date
What year was the first book published?,date
When was this anthology first published?,date
When was Swag first published?,date
When was The Bomb first published?,date
When was Fluke published?,date
When was The Search published?,date
When was The Resistance published?,date
When was The Incorporated Knight first published?,date
When was Love published?,date
Where was the book published in 1909?,date
When was the fourth volume published?,date
When was The Prophet originally published?,date
What year was Dragonwings published?,date
When was the second novel published?,date
Where was the book published by Alfaguara?,date
When was The Originals published?,date
When was The Lost Barkscrolls first published?,date
When was Chaosbound published?,date
When was Sisters published?,date
How long after the book was published was it discovered that the story was fictional?,date
When was Victory first published?,date
When was the Encyclopedia first published?,date
When was The Call first published?,date
When was The Double published?,date
When was the first issue of Abadazad published?,date
When was One World originally published?,date
When was the Morgenthau report published?,date
When was the Dabru Emet first published?,date
When was RAW first published?,date
When was the story published?,date
When was Anathem published?,date
What year was Fantomina published?,date
When was this is it first published?,date
When was the Disinherited published?,date
When was Book of the Dead first published?,date
When was Twistor first published?,date
When was Ledena magnolje first published?,date
When was the first Hymn published?,date
When was An Essay published?,date
When was The Last Battle published?,date
When was Revolution published?,date
When was Whompyjawed first published?,date
When was 1922 published?,date
When was the second edition published?,date
When was Lightning published?,date
When was Pathik pravasan published?,date
When was the first edition published?,date
Where was the book first published?,date
When was the book originally published?,date
When was Temptation published?,date
When was the Godfather published?,date
When was Sekstant first published?,date
When was The Touch published?,date
When was Burned published?,date
What year was Niourk published?,date
When was Cythera first published?,date
When was the novel published in 1932?,date
When was New Found Land first published?,date
When was Estórias contadas published?,date
When was the book published by Phaidon Press?,date
When was Triplanetary first published?,date
When was the sixth edition published?,date
When was Speed first published?,date
When was The Navigator published?,date
When was The Squad published?,date
When was Petelinnji first published?,date
When was Flambard's Confession published?,date
When was the first novel published?,date
When was The Return published?,date
When was The Thief published?,date
When was Sengsara Membawa Nikmat published?,date
When was Mistaken published?,date
When was the book originally due to be published?,date
When was Break Through published?,date
When was The Deep published?,date
When was Drejek first published?,date
When was The Rescue first published?,date
When was the fourth book published?,date
When was The Company first published?,date
When was the novel published?,date
When was First Things First published?,date
When was Shadows first published?,date
When was the novel first published?,date
When was the book originally published in Spanish?,date
When was Fledgleling published?,date
When was From Hell first published?,date
When was The Truth published?,date
Where was the essay first published?,date
When was Adventure published?,date
What was the first book published in 1952?,date
When was The Century first published?,date
In what year was the book originally published?,date
When was The Starmen published?,date
When was the story first published?,date
When was Appointment In Samarra published?,date
Where was the novel first published?,date
When was Marnie first published?,date
When was Notations first published?,date
When was L'Oblat first published?,date
When was The Ghostway first published?,date
When was Jinx published?,date
When was the book originally published in English?,date
When was the last government-published version published?,date
When was the Harvilll Book published?,date
When was Centennial published?,date
When was the second part published?,date
When was Dalsze okolice first published?,date
When was the second book published?,date
When was the novel published by Delacorte Press?,date
When was Blueprint first published?,date
What year was Poésies published?,date
When was The Bonesetter's Daughter published?,date
When was the Pledge published?,date
When was To first published?,date
When was The Last Chronicle of Barset published?,date
When was Contest published?,date
When was the book published together?,date
When was the book published posthumously?,date
Where was Styrons first published novel?,date
What was the name of the book that was published posthumously in 1985?,date
When was Zündels Abgang published?,date
When was The Before Midnight Scholar published?,date
When was Reamde published?,date
When was Tehlikeli Oyunlar published?,date
When was Fire published?,date
When was Loving NAtalee first published?,date
When was Emergence published?,date
When was Pregnant After Aloss published?,date
When was My Autobiography first published?,date
When was Homebase first published?,date
When was Viricoonium published?,date
When was Memento published?,date
When was Landslide first published?,date
When was Shadow published?,date
When was Mrtva morje first published?,date
When was the first volume published?,date
When was the first book published?,date
When was The City published?,date
When was One first published?,date
When was Reasonable Doubt first published?,date
When was The Fire published?,date
When was the debut book published?,date
When was the first Dimsie book published?,date
When was 1862 first published?,date
When was Echoes published?,date
When was Submarine first published?,date
When was The Warriors originally published?,date
When was Life published?,date
When was 69 first published?,date
When was The American first published?,date
When was the diary published?,date
When was Omeros first published?,date
When was it published?,date
When was Beginnings first published?,date
Where was it published in 1990?,date
When was the book originally released?,date
When was Attentat first published?,date
When was Lost Property first published?,date
When was The Navigator first published?,date
When was the book published?,date
When was the Conservationist published?,date
When was Dragonsdawn published?,date
When was Barfüßiger Februar first published?,date
When was The Winner first published?,date
When was The Toymaker first published?,date
In what language was the Physiologus written or compiled?,language
In what language was the book written?,language
How many languages was City Boy translated into?,language
What language is Fleta written in?,language
In what language was The Giants translated into?,language
What language is the novel written in?,language
In what language was the book originally published?,language
What language was Mario Azzopardi originally written in?,language
What language is Sweat currently being translated into?,language
What language was the book written in?,language
What language was I and Thou translated into?,language
What language was the original German Herbarius published in?,language
In what languages has the book been translated?,language
In what language did Forster discuss the English language novel?,language
In what language did Forster discuss the English language novel?,language
What language is Bratrstvo?,language
In what language was the book written?,language
In what language was The Brothers Ashkenazi written?,language
In what year was Knowledge of language first published?,language
In what language was The Kitabu'l-Asmá' written?,language
What language is the Samguk Sagi written in?,language
What language was the first Finnish novel written?,language
What language was the Testament of Solomon written in?,language
In what language is The Prodigy sometimes referred to?,language
In what language was the history written by Bede originally composed?,language
In what language was the Abhidharmakoakrik written?,language
In what language was the work written?,language
In what language was the book originally published?,language
In what language does the name Ayumarcan mean?,language
What language was the original work written in?,language
What language was Lo Crestia written in?,language
What languages has the book been translated into?,language
What language was the book translated into?,language
In what languages has the book been translated?,language
What language was the book translated into?,language
In what language was the book originally published?,language
What language is Viswasahityavijnanakosam written in?,language
In what language was Heineen's work translated?,language
In what language was the book written?,language
In what language is the codex Iuliacainsis written?,language
What language is the text written in?,language
What language was the Wikipedia article written in?,language
In what language was the novel translated into English?,language
In what language has Bad Girls been translated?,language
In what language was the Church History written?,language
What language was Ourania written?,language
A language that only admits ambiguous grammars is called what?,language
What language was the original book written in?,language
In what language was the book originally published?,language
What language was the book translated into?,language
In what language was Abraham Cahan a well-known writer?,language
which country was mitti made in,country
What country produced the film Three Guys Named Mike.,country
what country is the film  visiting hours from,country
Where was empire records released,country
what country made resident evil: apocalypse,country
Where was nuregami kenpō filmed,country
what country was the film master harold...and the boys done in,country
where did the film a hole in the head take place?,country
Which country is the film bittersweet memories from,country
where was the film the traveller filmed,country
Where was american crime filmed?,country
The Merry Widow has production ties to what country?,country
what country is the movie the spy: undercover operation from,country
which country is varietease from,country
what country is justin and the knights of valour originally from?,country
which country was the wacky world of tex avery filmed in,country
what country is aamne samne from?,country
"Which nation filmed lumumba, la mort d'un prophète",country
Which country is the film liguana dalla lingua di fuoco from?,country
"In what country was ""Taras Bulba"" filmed?",country
"whats the country that created  sorry, haters",country
what country was train of life filmed in,country
What country is fat choi spirit about?,country
in what country was dirty affair filmed,country
Which country did the film the witchs mirror come from,country
what county is the film sainik in,country
raja kumarudu was done in what country,country
which country produces bloodstained memoirs,country
which country released zozo,country
what country is the film in the mirror of maya deren from,country
where is the movie even pigeons go to heaven from,country
what country was games from?,country
what country made the film  gymnoi sto dromo,country
what country was vinyan filmed in?,country
what country made the film  the prisoner of zenda,country
Which film did limuzīns jāņu nakts krāsā originate in,country
in what country was bryllupsfotografen filmed,country
which asian country is hiram na mukha from?,country
What country released berlin – ecke schönhauser…?,country
what country was the film the lady located,country
Where was ceddo filmed?,country
"Which country is the film ""types of bakuvian bazaars"" from?",country
Which country does the the exorcist iii come from?,country
what country created the film film,country
What country was les démoniaques filmed in?,country
what country is close to you from?,country
in which country was lakeer - forbidden lines filmed,country
what country is the film neenyare filmed in?,country
what country created the film the royal mounted rides again,country
Which country was the film a couch in new york from,country
Which country was son of the shark filmed?,country
which country released since pearl harbor,country
which country is the movie raadha aur seeta from,country
"What country is ricardo, miriam y fidel about?",country
what country is el bonaerense filmed in,country
which country made georgica,country
which country produced king arthur,country
what country made the film the final winter,country
which country was the movie witchville released in,country
which country released alfons zitterbacke,country
which European country is the film midnight's children from,country
which country did the film emak-bakia come from,country
Which country is the film platform from,country
what country is the last supper from,country
what country is darkness from,country
what country is george and the dragon filmed in?,country
what country is heera aur pathar filmed?,country
what country is Änglagård from,country
what country was munde u.k. de filmed,country
which country released monica,country
where was cervantes filmed,country
in which country was annai velankanni filmed,country
what country is magic boy in,country
what country does the movie dragonworld: the legend continues come from,country
what country was the folk dance of caucasus filmed in,country
what country was los santos reyes filmed in?,country
Where was kanyadaan shot,country
